name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RAT1	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT2	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT3	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT4	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT5	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT6	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT7	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT8	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAST1	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST2	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST3	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST4	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST5	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST6	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST7	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST8	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RPST1	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST2	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST3	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST4	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST5	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST6	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST7	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST8	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPT1	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
RPT2	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
RPT3	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
RPT4	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
RPT5	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
RPT6	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
RPT7	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
RPT8	ECOG	V	n/a	n/a	RPT	1000	strip	n/a
LAT1	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT2	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT3	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT4	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
