name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region
RAID1	44.2722	-34.6658	1.13460281992186	-999	RAID	R	depth	37.4458	-29.0397	0.0944345	Right Cerebral White Matter
RAID2	48.4526	-30.6443	1.10432055469412	-999	RAID	R	depth	40.8305	-24.845	-0.484656	Right Cerebral White Matter
RAID3	53.5389	-28.7039	1.36195690523887	-999	RAID	R	depth	45.8254	-21.6651	-1.11249	Right STG superior temporal gyrus
RAID4	58.9813	-27.0819	0.722744250036965	-999	RAID	R	depth	50.2496	-18.0842	-1.11816	Right MTG middle temporal gyrus
RAID5	61.1302	-23.3166	0.588249833195858	-999	RAID	R	depth	53.6191	-14.8921	-1.81248	Right MTG middle temporal gyrus
RAID6	62.2882	-18.5238	1.48602748172785	-999	RAID	R	depth	58.0359	-11.8125	-1.87589	Right MTG middle temporal gyrus
RAID7	63.6396	-13.8667	0.800992607899533	-999	RAID	R	depth	62.4889	-8.62851	-2.52588	Right STG superior temporal gyrus
RAID8	66.892	-10.0169	-1.53087738907082	-999	RAID	R	depth	66.4002	-5.44042	-3.19805	n/a
RASD1	35.5547	-38.0171	8.88357799434013	-999	RASD	R	depth	32.4343	-29.9421	12.0988	Right Cerebral White Matter
RASD2	40.5689	-35.1887	7.1271769715021	-999	RASD	R	depth	36.9086	-27.662	10.6291	Right Cerebral White Matter
RASD3	46.5808	-31.8338	6.9862546166783	-999	RASD	R	depth	41.8884	-25.4877	9.82567	Right Cerebral White Matter
RASD4	53.648	-28.9115	7.82009029010745	-999	RASD	R	depth	47.4462	-23.2155	8.4046	Right Cerebral White Matter
RASD5	59.8264	-27.6358	7.69103131434324	-999	RASD	R	depth	51.8918	-20.5353	7.64236	Right STG superior temporal gyrus
RASD6	64.2587	-26.6152	7.52385080958831	-999	RASD	R	depth	56.2933	-18.4587	7.45662	Right STG superior temporal gyrus
RASD7	66.5789	-24.3744	6.57249974176747	-999	RASD	R	depth	60.7312	-16.2803	6.62897	Right STG superior temporal gyrus
RASD8	68.0912	-20.8554	5.38656384238791	-999	RASD	R	depth	66.8309	-14.012	5.23214	Right STG superior temporal gyrus
RSAD1	33.0338	-41.5086	12.4197812834499	-999	RSAD	R	depth	28.9191	-33.5381	15.4115	Right Cerebral White Matter
RSAD2	35.9037	-40.3461	15.2412470108551	-999	RSAD	R	depth	32.0184	-32.0631	19.0286	Right Cerebral White Matter
RSAD3	38.2598	-38.9824	18.2309757408097	-999	RSAD	R	depth	35.1176	-30.5882	22.6459	Right Cerebral White Matter
RSAD4	41.8995	-38.8214	20.4935045680533	-999	RSAD	R	depth	39.2853	-30.1243	26.1807	Right Cerebral White Matter
RSAD5	44.7943	-39.1642	23.1522981680562	-999	RSAD	R	depth	42.8899	-28.755	30.464	Right Cerebral White Matter
RSAD6	48.9036	-37.8988	25.3703647311754	-999	RSAD	R	depth	47.0728	-27.2879	34.1297	Right AnG angular gyrus
RSAD7	50.0516	-32.116	31.2702991895091	-999	RSAD	R	depth	50.1796	-25.3113	37.8124	Right PoG postcentral gyrus
RSAD8	51.9324	-25.1705	38.8636400723923	-999	RSAD	R	depth	54.399	-23.7426	40.8362	Right SMG supramarginal gyrus
RSMD1	28.2032	-48.9168	21.6376543976178	-999	RSMD	R	depth	22.848	-42.0461	23.8803	Right Cerebral White Matter
RSMD2	33.0169	-46.8767	22.858599971279	-999	RSMD	R	depth	27.0673	-40.4774	26.9041	Right Cerebral White Matter
RSMD3	37.5953	-45.912	26.6014280663963	-999	RSMD	R	depth	31.1621	-40.2167	31.7226	Right Cerebral White Matter
RSMD4	40.2534	-45.4921	29.7409742596526	-999	RSMD	R	depth	34.2461	-39.7451	35.2088	Right Cerebral White Matter
RSMD5	42.294	-44.9053	32.3676903192136	-999	RSMD	R	depth	37.3666	-39.1719	38.053	Right Cerebral White Matter
RSMD6	43.9451	-41.6088	38.9872810156172	-999	RSMD	R	depth	42.0185	-37.9119	43.0268	Right Cerebral White Matter
RSMD7	46.9508	-40.8303	42.653520324316	-999	RSMD	R	depth	45.1025	-37.4402	46.513	Right Cerebral White Matter
RSMD8	50.4537	-40.3675	46.8616724295224	-999	RSMD	R	depth	48.1501	-37.0701	50.641	Right Cerebral White Matter
RSPD1	17.5477	-60.7306	14.5626270952731	-999	RSPD	R	depth	12.7122	-54.4996	15.2311	Right Cerebral White Matter
RSPD2	24.0645	-58.8204	18.855652046475	-999	RSPD	R	depth	18.4842	-53.1459	19.6115	Right PCu precuneus
RSPD3	30.6413	-56.6269	21.8319847911013	-999	RSPD	R	depth	23.6778	-51.89	24.6096	Right Cerebral White Matter
RSPD4	36.45	-53.9581	25.7802254866183	-999	RSPD	R	depth	28.8351	-50.7355	30.2495	Right Cerebral White Matter
RSPD5	40.5651	-52.7299	31.0605596052357	-999	RSPD	R	depth	33.9923	-49.5811	35.8895	Right SPL superior parietal lobule
RSPD6	44.4613	-51.3108	35.2264986839776	-999	RSPD	R	depth	39.772	-47.7257	40.3354	Right MOG middle occipital gyrus
RSPD7	46.5642	-50.0937	42.2844961334736	-999	RSPD	R	depth	44.9292	-46.5714	45.9754	Right Cerebral White Matter
RPSD1	30.2691	-54.0678	12.2907362420824	-999	RPSD	R	depth	24.3791	-47.051	13.4483	Right Lateral Ventricle
RPSD2	35.3177	-56.2544	13.3812620498143	-999	RPSD	R	depth	27.4753	-50.3892	15.1263	Right Lateral Ventricle
