name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RAID1	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RAID2	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RAID3	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RAID4	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RAID5	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RAID6	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RAID7	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RAID8	SEEG	V	n/a	n/a	RAID	999	depth	n/a
RASD1	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RASD2	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RASD3	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RASD4	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RASD5	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RASD6	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RASD7	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RASD8	SEEG	V	n/a	n/a	RASD	999	depth	n/a
RSAD1	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSAD2	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSAD3	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSAD4	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSAD5	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSAD6	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSAD7	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSAD8	SEEG	V	n/a	n/a	RSAD	999	depth	n/a
RSMD1	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSMD2	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSMD3	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSMD4	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSMD5	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSMD6	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSMD7	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSMD8	SEEG	V	n/a	n/a	RSMD	999	depth	n/a
RSPD1	SEEG	V	n/a	n/a	RSPD	999	depth	n/a
RSPD2	SEEG	V	n/a	n/a	RSPD	999	depth	n/a
RSPD3	SEEG	V	n/a	n/a	RSPD	999	depth	n/a
RSPD4	SEEG	V	n/a	n/a	RSPD	999	depth	n/a
RSPD5	SEEG	V	n/a	n/a	RSPD	999	depth	n/a
RSPD6	SEEG	V	n/a	n/a	RSPD	999	depth	n/a
RSPD7	SEEG	V	n/a	n/a	RSPD	999	depth	n/a
RPSD1	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPSD2	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPSD3	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPSD4	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPSD5	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPSD6	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPSD7	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPSD8	SEEG	V	n/a	n/a	RPSD	999	depth	n/a
RPID1	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RPID2	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RPID3	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RPID4	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RPID5	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RPID6	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RPID7	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RPID8	SEEG	V	n/a	n/a	RPID	999	depth	n/a
RINMD1	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD2	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD3	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD4	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD5	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD6	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD7	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD8	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD9	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINMD10	SEEG	V	n/a	n/a	RINMD	999	depth	n/a
RINPD1	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD2	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD3	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD4	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD5	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD6	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD7	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD8	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD9	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RINPD10	SEEG	V	n/a	n/a	RINPD	999	depth	n/a
RMHD1	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD2	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD3	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD4	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD5	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD6	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD7	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD8	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD9	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RMHD10	SEEG	V	n/a	n/a	RMHD	999	depth	n/a
RPHD1	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD2	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD3	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD4	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD5	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD6	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD7	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD8	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD9	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RPHD10	SEEG	V	n/a	n/a	RPHD	999	depth	n/a
RCPD1	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD2	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD3	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD4	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD5	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD6	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD7	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD8	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD9	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCPD10	SEEG	V	n/a	n/a	RCPD	999	depth	n/a
RCFPD1	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD2	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD3	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD4	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD5	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD6	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD7	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD8	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD9	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RCFPD10	SEEG	V	n/a	n/a	RCFPD	999	depth	n/a
RSFS1	ECOG	V	n/a	n/a	RSFS	999	strip	n/a
RSFS2	ECOG	V	n/a	n/a	RSFS	999	strip	n/a
RSFS3	ECOG	V	n/a	n/a	RSFS	999	strip	n/a
RSFS4	ECOG	V	n/a	n/a	RSFS	999	strip	n/a
RSFS5	ECOG	V	n/a	n/a	RSFS	999	strip	n/a
RSFS6	ECOG	V	n/a	n/a	RSFS	999	strip	n/a
RLFS1	ECOG	V	n/a	n/a	RLFS	999	strip	n/a
RLFS2	ECOG	V	n/a	n/a	RLFS	999	strip	n/a
RLFS3	ECOG	V	n/a	n/a	RLFS	999	strip	n/a
RLFS4	ECOG	V	n/a	n/a	RLFS	999	strip	n/a
RLFS5	ECOG	V	n/a	n/a	RLFS	999	strip	n/a
RLFS6	ECOG	V	n/a	n/a	RLFS	999	strip	n/a
