name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LSTA1-LSTA2	ECOG	V	n/a	n/a	bipolar	LSTA	1000	strip	n/a
LSTA2-LSTA3	ECOG	V	n/a	n/a	bipolar	LSTA	1000	strip	n/a
LSTA3-LSTA4	ECOG	V	n/a	n/a	bipolar	LSTA	1000	strip	n/a
LSTA4-LSTA5	ECOG	V	n/a	n/a	bipolar	LSTA	1000	strip	n/a
LSTA5-LSTA6	ECOG	V	n/a	n/a	bipolar	LSTA	1000	strip	n/a
LSTA6-LSTA7	ECOG	V	n/a	n/a	bipolar	LSTA	1000	strip	n/a
LSTA7-LSTA8	ECOG	V	n/a	n/a	bipolar	LSTA	1000	strip	n/a
LSTB1-LSTB2	ECOG	V	n/a	n/a	bipolar	LSTB	1000	strip	n/a
LSTB2-LSTB3	ECOG	V	n/a	n/a	bipolar	LSTB	1000	strip	n/a
LSTB3-LSTB4	ECOG	V	n/a	n/a	bipolar	LSTB	1000	strip	n/a
LSTB4-LSTB5	ECOG	V	n/a	n/a	bipolar	LSTB	1000	strip	n/a
LSTB5-LSTB6	ECOG	V	n/a	n/a	bipolar	LSTB	1000	strip	n/a
LSTB6-LSTB7	ECOG	V	n/a	n/a	bipolar	LSTB	1000	strip	n/a
LSTB7-LSTB8	ECOG	V	n/a	n/a	bipolar	LSTB	1000	strip	n/a
LPT1-LPT2	ECOG	V	n/a	n/a	bipolar	LPT	1000	strip	n/a
LPT2-LPT3	ECOG	V	n/a	n/a	bipolar	LPT	1000	strip	n/a
LPT3-LPT4	ECOG	V	n/a	n/a	bipolar	LPT	1000	strip	n/a
LPT4-LPT5	ECOG	V	n/a	n/a	bipolar	LPT	1000	strip	n/a
LPT5-LPT6	ECOG	V	n/a	n/a	bipolar	LPT	1000	strip	n/a
LPT6-LPT7	ECOG	V	n/a	n/a	bipolar	LPT	1000	strip	n/a
LPT7-LPT8	ECOG	V	n/a	n/a	bipolar	LPT	1000	strip	n/a
LIHA1-LIHA2	ECOG	V	n/a	n/a	bipolar	LIHA	1000	strip	n/a
LIHA2-LIHA3	ECOG	V	n/a	n/a	bipolar	LIHA	1000	strip	n/a
LIHA3-LIHA4	ECOG	V	n/a	n/a	bipolar	LIHA	1000	strip	n/a
LIHB1-LIHB2	ECOG	V	n/a	n/a	bipolar	LIHB	1000	strip	n/a
LIHB2-LIHB3	ECOG	V	n/a	n/a	bipolar	LIHB	1000	strip	n/a
LIHB3-LIHB4	ECOG	V	n/a	n/a	bipolar	LIHB	1000	strip	n/a
RFA1-RFA2	ECOG	V	n/a	n/a	bipolar	RFA	1000	strip	n/a
RFA2-RFA3	ECOG	V	n/a	n/a	bipolar	RFA	1000	strip	n/a
RFA3-RFA5	ECOG	V	n/a	n/a	bipolar	RFA	1000	strip	n/a
RFA5-RFA6	ECOG	V	n/a	n/a	bipolar	RFA	1000	strip	n/a
RFA6-RFA7	ECOG	V	n/a	n/a	bipolar	RFA	1000	strip	n/a
RFA7-RFA8	ECOG	V	n/a	n/a	bipolar	RFA	1000	strip	n/a
RFB1-RFB2	ECOG	V	n/a	n/a	bipolar	RFB	1000	strip	n/a
RFB2-RFB3	ECOG	V	n/a	n/a	bipolar	RFB	1000	strip	n/a
RFB3-RFB5	ECOG	V	n/a	n/a	bipolar	RFB	1000	strip	n/a
RFB5-RFB6	ECOG	V	n/a	n/a	bipolar	RFB	1000	strip	n/a
RFB6-RFB7	ECOG	V	n/a	n/a	bipolar	RFB	1000	strip	n/a
RFB7-RFB8	ECOG	V	n/a	n/a	bipolar	RFB	1000	strip	n/a
RFC1-RFC2	ECOG	V	n/a	n/a	bipolar	RFC	1000	strip	n/a
RFC2-RFC3	ECOG	V	n/a	n/a	bipolar	RFC	1000	strip	n/a
RFC3-RFC5	ECOG	V	n/a	n/a	bipolar	RFC	1000	strip	n/a
RFC5-RFC6	ECOG	V	n/a	n/a	bipolar	RFC	1000	strip	n/a
RFC6-RFC7	ECOG	V	n/a	n/a	bipolar	RFC	1000	strip	n/a
RFC7-RFC8	ECOG	V	n/a	n/a	bipolar	RFC	1000	strip	n/a
RFD1-RFD2	ECOG	V	n/a	n/a	bipolar	RFD	1000	strip	n/a
RFD2-RFD3	ECOG	V	n/a	n/a	bipolar	RFD	1000	strip	n/a
RFD3-RFD5	ECOG	V	n/a	n/a	bipolar	RFD	1000	strip	n/a
RFD5-RFD6	ECOG	V	n/a	n/a	bipolar	RFD	1000	strip	n/a
RFD6-RFD7	ECOG	V	n/a	n/a	bipolar	RFD	1000	strip	n/a
RFD7-RFD8	ECOG	V	n/a	n/a	bipolar	RFD	1000	strip	n/a
RAT1-RAT2	ECOG	V	n/a	n/a	bipolar	RAT	1000	strip	n/a
RAT2-RAT3	ECOG	V	n/a	n/a	bipolar	RAT	1000	strip	n/a
RAT3-RAT5	ECOG	V	n/a	n/a	bipolar	RAT	1000	strip	n/a
RAT5-RAT6	ECOG	V	n/a	n/a	bipolar	RAT	1000	strip	n/a
RAT6-RAT7	ECOG	V	n/a	n/a	bipolar	RAT	1000	strip	n/a
RAT7-RAT8	ECOG	V	n/a	n/a	bipolar	RAT	1000	strip	n/a
RSTA1-RSTA2	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA2-RSTA3	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA3-RSTA5	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA5-RSTA6	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA6-RSTA7	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTA7-RSTA8	ECOG	V	n/a	n/a	bipolar	RSTA	1000	strip	n/a
RSTB1-RSTB2	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB2-RSTB3	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB3-RSTB5	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB5-RSTB6	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB6-RSTB7	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RSTB7-RSTB8	ECOG	V	n/a	n/a	bipolar	RSTB	1000	strip	n/a
RPT1-RPT2	ECOG	V	n/a	n/a	bipolar	RPT	1000	strip	n/a
RPT2-RPT3	ECOG	V	n/a	n/a	bipolar	RPT	1000	strip	n/a
RPT3-RPT5	ECOG	V	n/a	n/a	bipolar	RPT	1000	strip	n/a
RPT5-RPT6	ECOG	V	n/a	n/a	bipolar	RPT	1000	strip	n/a
RPT6-RPT7	ECOG	V	n/a	n/a	bipolar	RPT	1000	strip	n/a
RPT7-RPT8	ECOG	V	n/a	n/a	bipolar	RPT	1000	strip	n/a
RIHA1-RIHA2	ECOG	V	n/a	n/a	bipolar	RIHA	1000	strip	n/a
RIHA2-RIHA3	ECOG	V	n/a	n/a	bipolar	RIHA	1000	strip	n/a
RIHA3-RIHA4	ECOG	V	n/a	n/a	bipolar	RIHA	1000	strip	n/a
