onset	duration	sample	trial_type	response_time	stim_file	stimulus	trial	block	paired_block	start_loc_x	start_loc_y	obj_loc_x	obj_loc_y	resp_loc_x	resp_loc_y	resp_reaction_time	resp_total_time	resp_path_length	x	y	direction	travel_time	session	experiment	subject
0.0	5.0	315050	NAV_PRACTICE_LEARN	n/a	wordpools/wordpool.txt	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	0.034	5.038	18.03158178872281	14.9838	-5.88401	354.686431885	n/a	1	YC1	R1062J
0.034	0.016	315084	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9838	-5.88401	354.686431885	0.0	1	YC1	R1062J
0.05	0.016	315100	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.882419999999999	355.057647705	0.016	1	YC1	R1062J
0.066	0.017	315116	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.882539999999999	355.438995361	0.032	1	YC1	R1062J
0.083	0.017	315133	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88266	355.78817749	0.049	1	YC1	R1062J
0.1	0.016	315150	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.882769999999999	356.155395508	0.066	1	YC1	R1062J
0.116	0.017	315166	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.8829	356.541748047	0.082	1	YC1	R1062J
0.133	0.017	315183	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.883009999999999	356.902801514	0.099	1	YC1	R1062J
0.15	0.017	315200	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88313	357.271606445	0.116	1	YC1	R1062J
0.167	0.016	315217	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88325	357.637542725	0.133	1	YC1	R1062J
0.183	0.017	315233	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.883379999999999	358.027709961	0.149	1	YC1	R1062J
0.2	0.016	315250	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88349	358.392181396	0.166	1	YC1	R1062J
0.216	0.017	315266	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88361	358.760772705	0.182	1	YC1	R1062J
0.233	0.016	315283	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.883729999999999	359.128570557	0.199	1	YC1	R1062J
0.249	0.018	315299	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.883849999999999	359.49597168	0.215	1	YC1	R1062J
0.267	0.017	315317	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.883969999999999	359.864257812	0.233	1	YC1	R1062J
0.284	0.016	315334	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88408	0.22702026400000003	0.25	1	YC1	R1062J
0.3	0.017	315350	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88421	0.618988037	0.266	1	YC1	R1062J
0.317	0.016	315367	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88433	0.9910583499999991	0.283	1	YC1	R1062J
0.333	0.017	315383	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.884439999999999	1.350158691	0.299	1	YC1	R1062J
0.35	0.017	315400	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.884559999999999	1.721740722999999	0.316	1	YC1	R1062J
0.367	0.016	315417	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88468	2.091094971	0.333	1	YC1	R1062J
0.383	0.017	315433	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.8848	2.465179442999999	0.349	1	YC1	R1062J
0.4	0.016	315450	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88492	2.832946777	0.366	1	YC1	R1062J
0.416	0.017	315466	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88504	3.198638916	0.382	1	YC1	R1062J
0.433	0.017	315483	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.885159999999999	3.567901610999999	0.399	1	YC1	R1062J
0.45	0.017	315500	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88527	3.940032958999999	0.416	1	YC1	R1062J
0.467	0.017	315517	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88539	4.313262939	0.433	1	YC1	R1062J
0.484	0.016	315534	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.88551	4.688903809	0.45	1	YC1	R1062J
0.5	0.017	315550	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.885629999999999	5.060302734	0.466	1	YC1	R1062J
0.517	0.016	315567	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.885749999999999	5.435333252	0.483	1	YC1	R1062J
0.533	0.017	315583	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9654	-5.885869999999999	5.793914795	0.499	1	YC1	R1062J
0.55	0.016	315600	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9655	-5.885989999999999	6.165313721	0.516	1	YC1	R1062J
0.566	0.017	315616	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9655	-5.886099999999999	6.520202636999999	0.532	1	YC1	R1062J
0.583	0.017	315633	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9655	-5.886219999999999	6.901641846	0.549	1	YC1	R1062J
0.6	0.016	315650	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9655	-5.886339999999999	7.27130127	0.566	1	YC1	R1062J
0.616	0.017	315666	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9655	-5.886459999999999	7.642272948999999	0.582	1	YC1	R1062J
0.633	0.018	315683	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9655	-5.88658	8.0128479	0.599	1	YC1	R1062J
0.651	0.016	315701	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9656	-5.886689999999999	8.380981445	0.617	1	YC1	R1062J
0.667	0.017	315717	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9656	-5.886809999999999	8.74786377	0.633	1	YC1	R1062J
0.684	0.016	315734	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9656	-5.88693	9.140563965	0.65	1	YC1	R1062J
0.7	0.016	315750	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9656	-5.88705	9.510223389	0.666	1	YC1	R1062J
0.716	0.017	315766	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9656	-5.88717	9.882843018	0.682	1	YC1	R1062J
0.733	0.017	315783	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9656	-5.887279999999999	10.229156494	0.699	1	YC1	R1062J
0.75	0.017	315800	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9657	-5.8874	10.605010986	0.716	1	YC1	R1062J
0.767	0.016	315817	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9657	-5.887509999999999	10.967651367	0.733	1	YC1	R1062J
0.783	0.017	315833	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9657	-5.887629999999999	11.351989746	0.749	1	YC1	R1062J
0.8	0.017	315850	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9657	-5.887749999999999	11.729675293	0.766	1	YC1	R1062J
0.817	0.016	315867	TRAVEL_PRACTICE_LEARN	n/a	n/a	wheel	-1	-1	-1	14.9838	-5.88401	9.57624	12.3302	9.8596	11.3758	n/a	n/a	n/a	14.9658	-5.88787	12.086120605	0.783	1	YC1	R1062J
